var,x,y,y_lower,y_upper
number_of_locations,29.5,0.007625962535953872,0.007535483473466232,0.007716441598441511
number_of_locations,30.5,0.007625962535953872,0.007535483473466232,0.007716441598441511
number_of_locations,31.5,0.007625962535953872,0.007535483473466232,0.007716441598441511
number_of_locations,32.5,0.007625962535953872,0.007535483473466232,0.007716441598441511
number_of_locations,33.5,0.007467731622571652,0.007303582869185185,0.007631880375958119
number_of_locations,34.5,0.007385015659639931,0.0072805143782030185,0.007489516941076844
number_of_locations,35.5,0.007349514182652943,0.007224215359465624,0.007474813005840262
number_of_locations,36.5,0.007349514182652943,0.007224215359465624,0.007474813005840262
number_of_locations,37.5,0.007349514182652943,0.007224215359465624,0.007474813005840262
number_of_locations,38.5,0.007349514182652943,0.007224215359465624,0.007474813005840262
number_of_locations,39.5,0.007349514182652943,0.007224215359465624,0.007474813005840262
number_of_locations,40.5,0.007319037961055878,0.007201811176240415,0.00743626474587134
number_of_locations,41.5,0.007319037961055878,0.007201811176240415,0.00743626474587134
number_of_locations,42.5,0.007319037961055878,0.007201811176240415,0.00743626474587134
number_of_locations,43.5,0.007319037961055878,0.007201811176240415,0.00743626474587134
number_of_locations,44.5,0.007319037961055878,0.007201811176240415,0.00743626474587134
number_of_locations,45.5,0.007319037961055878,0.007201811176240415,0.00743626474587134
number_of_locations,46.5,0.007319037961055878,0.007201811176240415,0.00743626474587134
number_of_locations,47.5,0.007319037961055878,0.007201811176240415,0.00743626474587134
number_of_locations,48.5,0.007319037961055878,0.007201811176240415,0.00743626474587134
number_of_locations,49.5,0.007319037961055878,0.007201811176240415,0.00743626474587134
number_of_locations,50.5,0.007319037961055878,0.007201811176240415,0.00743626474587134
number_of_locations,51.5,0.007319037961055878,0.007201811176240415,0.00743626474587134
number_of_locations,52.5,0.007319037961055878,0.007201811176240415,0.00743626474587134
number_of_locations,53.5,0.007319037961055878,0.007201811176240415,0.00743626474587134
number_of_locations,54.5,0.007319037961055878,0.007201811176240415,0.00743626474587134
number_of_locations,55.5,0.007319037961055878,0.007201811176240415,0.00743626474587134
number_of_locations,56.5,0.005614623183160989,0.005307971181680979,0.005921275184640999
number_of_locations,57.5,0.005614623183160989,0.005307971181680979,0.005921275184640999
number_of_locations,58.49999999999999,0.005614623183160989,0.005307971181680979,0.005921275184640999
number_of_locations,59.50000000000001,0.005614623183160989,0.005307971181680979,0.005921275184640999
number_of_locations,60.49999999999999,0.005614623183160989,0.005307971181680979,0.005921275184640999
number_of_locations,61.50000000000001,0.005614623183160989,0.005307971181680979,0.005921275184640999
number_of_locations,62.5,0.005614623183160989,0.005307971181680979,0.005921275184640999
number_of_locations,63.50000000000001,0.005614623183160989,0.005307971181680979,0.005921275184640999
number_of_locations,64.5,0.005614623183160989,0.005307971181680979,0.005921275184640999
number_of_locations,65.5,0.005614623183160989,0.005307971181680979,0.005921275184640999
number_of_locations,66.5,0.005200804902948513,0.004810045933336591,0.005591563872560434
number_of_locations,67.5,0.005200804902948513,0.004810045933336591,0.005591563872560434
number_of_locations,68.5,0.003481193466272077,0.003139931748355124,0.00382245518418903
number_of_locations,69.5,0.003481193466272077,0.003139931748355124,0.00382245518418903
number_of_locations,70.5,0.003481193466272077,0.003139931748355124,0.00382245518418903
number_of_locations,71.5,0.003481193466272077,0.003139931748355124,0.00382245518418903
number_of_locations,72.5,0.003481193466272077,0.003139931748355124,0.00382245518418903
number_of_locations,73.5,0.003481193466272077,0.003139931748355124,0.00382245518418903
number_of_locations,74.5,0.003481193466272077,0.003139931748355124,0.00382245518418903
number_of_locations,75.5,0.003481193466272077,0.003139931748355124,0.00382245518418903
number_of_locations,76.5,0.003481193466272077,0.003139931748355124,0.00382245518418903
number_of_locations,77.5,0.003481193466272077,0.003139931748355124,0.00382245518418903
number_of_locations,78.5,0.003481193466272077,0.003139931748355124,0.00382245518418903
number_of_locations,79.5,0.003481193466272077,0.003139931748355124,0.00382245518418903
number_of_locations,80.5,0.003481193466272077,0.003139931748355124,0.00382245518418903
number_of_locations,81.5,0.003481193466272077,0.003139931748355124,0.00382245518418903
number_of_locations,82.5,0.003481193466272077,0.003139931748355124,0.00382245518418903
number_of_locations,83.5,0.003481193466272077,0.003139931748355124,0.00382245518418903
number_of_locations,84.50000000000001,0.003481193466272077,0.003139931748355124,0.00382245518418903
number_of_locations,85.5,0.0021791412902313484,0.0014241145898718395,0.0029341679905908573
number_of_locations,86.50000000000001,0.0018767842469843664,0.0007592972144588178,0.002994271279509915
number_of_locations,87.5,0.001197517737372868,0.0006346910897583845,0.0017603443849873515
number_of_locations,88.49999999999999,0.001197517737372868,0.0006346910897583845,0.0017603443849873515
number_of_locations,89.5,0.001197517737372868,0.0006346910897583845,0.0017603443849873515
number_of_locations,90.49999999999999,0.001197517737372868,0.0006346910897583845,0.0017603443849873515
number_of_locations,91.5,0.0008545716908761342,0.00017712319896316458,0.001532020182789104
number_of_locations,92.5,0.0008545716908761342,0.00017712319896316458,0.001532020182789104
number_of_locations,93.5,0.0008545716908761342,0.00017712319896316458,0.001532020182789104
number_of_locations,94.5,0.0008545716908761342,0.00017712319896316458,0.001532020182789104
number_of_locations,95.5,0.0008545716908761342,0.00017712319896316458,0.001532020182789104
number_of_locations,96.5,0.0008545716908761342,0.00017712319896316458,0.001532020182789104
number_of_locations,97.5,0.0008545716908761342,0.00017712319896316458,0.001532020182789104
number_of_locations,99.5,0.0008545716908761342,0.00017712319896316458,0.001532020182789104
number_of_locations,100.5,0.0008545716908761342,0.00017712319896316458,0.001532020182789104
