class,subclass,count,category,Keep
shop,nutrition_supplements,36,Health and Beauty,1
tourism,theme_park,36,Entertainment,1
amenity,car_sharing,35,Transportation,0
amenity,lounger,35,Leisure,1
shop,chemist,35,Healthcare,1
shop,baby_goods,34,Home and Living,1
craft,photographer,33,Artisan Workshops,1
emergency,emergency_ward_entrance,33,Emergency Services,0
office,architect,33,Office,1
shop,carpet,33,Home and Living,1
shop,chocolate,33,Food and Drink,1
amenity,laundry,32,Home and Living,1
amenity,tent_ground,32,Outdoor Recreation,1
historic,mine_shaft,32,Historic,1
office,consulting,32,Office,1
shop,coffee,32,Food and Drink,1
shop,pawnbroker,32,Financial Services,1
amenity,conference_centre,31,Office,1
leisure,garden,31,Outdoor Recreation,1
shop,shoe_repair,31,Artisan Workshops,1
emergency,ambulance_station,30,Emergency Services,0
shop,fishing,30,Outdoor Recreation,1
amenity,kitchen,29,Home and Living,1
amenity,chair,28,Outdoor Recreation,1
amenity,weighbridge,28,Transportation,0
tourism,lean_to,28,Outdoor Recreation,1
craft,plumber,27,Artisan Workshops,1
office,advertising_agency,27,Office,1
shop,general,27,Shop,1
shop,hunting,27,Outdoor Recreation,1
sport,canoe,27,Outdoor Recreation,1
amenity,lifeboat_station,26,Emergency Services,0
amenity,studio,26,Artisan Workshops,1
craft,handicraft,26,Craft,1
craft,hvac,26,Home and Living,1
craft,painter,26,Artisan Workshops,1
historic,military,26,Recreation,1
leisure,golf_course,26,Sports and Activities,1
office,research,26,Education,1
amenity,marketplace,25,Groceries and Food,1
shop,erotic,25,Entertainment,1
sport,multi,25,Sports and Activities,1
amenity,animal_boarding,24,Recreation,1
craft,pottery,24,Artisan Workshops,1
shop,newsagent,24,Groceries and Food,1
sport,soccer,24,Sports and Activities,1
amenity,music_school,23,Education,1
craft,locksmith,23,Home and Living,1
leisure,outdoor_bathing,23,Outdoor Recreation,1
tourism,cabin,23,Outdoor Recreation,1
craft,blacksmith,22,Artisan Workshops,1
historic,house,22,Historic,1
shop,chandler,22,Artisan Workshops,1
historic,charcoal_pile,21,Outdoor Recreation,1
office,telecommunication,21,Office,1
office,travel_agent,21,Tourism,1
amenity,food_court,20,Food and Drink,1
shop,bathroom_furnishing,20,Home and Living,1
sport,shooting,20,Sports and Activities,1
sport,tennis,20,Sports and Activities,1
office,property_management,19,Office,1
shop,rental,19,Home and Living,1
shop,swimming_pool,19,Recreation,1
shop,cheese,18,Food and Drink,1
shop,electrical,18,Home and Living,1
shop,glaziery,18,Artisan Workshops,1
sport,orienteering,18,Outdoor Recreation,1
amenity,dojo,17,Sports and Activities,1
amenity,harbourmaster,17,Transportation,0
sport,skiing,17,Sports and Activities,1
amenity,grave_yard,16,Religious Places,1
amenity,table,16,Outdoor Recreation,1
amenity,ticket_validator,16,Transportation,0
craft,cleaning,16,Home and Living,1
leisure,escape_game,16,Entertainment,1
shop,fireplace,16,Home and Living,1
sport,golf,16,Sports and Activities,1
craft,sculptor,15,Artisan Workshops,1
emergency,yes,15,Emergency Services,0
historic,industrial,15,Historic,1
historic,wayside_cross,15,Religious Places,1
office,financial,15,Financial Services,1
shop,beverages,15,Food and Drink,1
shop,boutique,15,Fashion and Accessories,1
shop,repair,15,Automotive Services,1
amenity,prison,14,Emergency Services,0
amenity,public_bookcase,14,Education,0
