d,d_grp,fd
314,"(313, 314]",0.000275653039737517
315,"(314, 315]",0.00025806774674186036
316,"(315, 316]",0.00024774871706592866
317,"(316, 317]",0.0002490496448861206
318,"(317, 318]",0.000202581586524484
319,"(318, 319]",0.00028353087109819953
320,"(319, 320]",0.0002784587717135217
321,"(320, 321]",0.00027997555303264026
322,"(321, 322]",0.00014843849550596515
323,"(322, 323]",0.00022229827102268246
324,"(323, 324]",0.00015999475783896972
325,"(324, 325]",0.00017301018615476348
326,"(325, 326]",0.00014976404561450491
327,"(326, 327]",0.0001935323858573883
328,"(327, 328]",0.0001916649335558387
329,"(328, 329]",0.00025908492249996767
330,"(329, 330]",0.00021008848870826479
331,"(330, 331]",0.0003429644197428795
332,"(331, 332]",0.00027798906732188306
333,"(332, 333]",0.0003786116613740801
334,"(333, 334]",0.0003116790201118575
335,"(334, 335]",0.00033260494951633493
336,"(335, 336]",0.0003067616476835792
337,"(336, 337]",0.00031114225104843495
338,"(337, 338]",0.0002613858852047007
339,"(338, 339]",0.0003501771090833846
340,"(339, 340]",0.00030208338753273537
341,"(340, 341]",0.0003213693798518264
342,"(341, 342]",0.00036540611492356424
343,"(342, 343]",0.0003444746446443692
344,"(343, 344]",0.0003121795763376848
345,"(344, 345]",0.0004278247108622183
346,"(345, 346]",0.00040454998626841224
347,"(346, 347]",0.00039885645754859076
348,"(347, 348]",0.0004150656405033227
349,"(348, 349]",0.00035668740913341
350,"(349, 350]",0.00033958984272125357
351,"(350, 351]",0.00024263171332870398
352,"(351, 352]",0.0003138893174456998
353,"(352, 353]",0.00027077074031298207
354,"(353, 354]",0.00033412051737568947
355,"(354, 355]",0.00040398884898391505
356,"(355, 356]",0.00042661090733651713
357,"(356, 357]",0.00022744572905948607
358,"(357, 358]",0.0001886452464553726
359,"(358, 359]",0.000206176283640353
360,"(359, 360]",0.00022728424891532874
361,"(360, 361]",0.00017802782351062962
362,"(361, 362]",0.00020296578552912291
363,"(362, 363]",0.00019016455743553107
364,"(363, 364]",0.00020140523328458746
365,"(364, 365]",0.00023307587971395266
366,"(365, 366]",0.00025396950886401044
367,"(366, 367]",0.0003322204381731688
368,"(367, 368]",0.000316899607508402
369,"(368, 369]",0.00031145060783135855
370,"(369, 370]",0.0003122319132663594
371,"(370, 371]",0.0002703156758920567
372,"(371, 372]",0.00033237546949082256
373,"(372, 373]",0.0002748797377340013
374,"(373, 374]",0.00026827450399535656
375,"(374, 375]",0.000162975883007637
376,"(375, 376]",0.00018341635421362278
377,"(376, 377]",0.00024378454873647605
378,"(377, 378]",0.000296238467483255
379,"(378, 379]",0.0002761892862433944
380,"(379, 380]",0.00031424626295963677
381,"(380, 381]",0.0002829710269582204
382,"(381, 382]",0.00032708498345328853
383,"(382, 383]",0.0002623291645763282
384,"(383, 384]",0.00037336406671439166
385,"(384, 385]",0.0005618157614541384
386,"(385, 386]",0.0004276345308708819
387,"(386, 387]",0.0005205113923892014
388,"(387, 388]",0.0003783337175452879
389,"(388, 389]",0.00046914430403522013
390,"(389, 390]",0.00040140139156614085
391,"(390, 391]",0.0004927078088400278
392,"(391, 392]",0.000523370810008044
393,"(392, 393]",0.0006673979857151673
394,"(393, 394]",0.0005535227831231184
395,"(394, 395]",0.0008506456183764296
396,"(395, 396]",0.0008293899628716135
397,"(396, 397]",0.000979773052269271
398,"(397, 398]",0.0009403367227080108
399,"(398, 399]",0.0009727932965158565
400,"(399, 400]",0.0006080143348624102
401,"(400, 401]",0.0006205099071170716
402,"(401, 402]",0.0005495752482914895
403,"(402, 403]",0.0005436639524796594
404,"(403, 404]",0.0005656265436391638
405,"(404, 405]",0.00046181390586684566
406,"(405, 406]",0.00040498054690888487
407,"(406, 407]",0.0004492363350209264
408,"(407, 408]",0.00031512687745774664
409,"(408, 409]",0.00025242610825579694
410,"(409, 410]",0.0002892261810132429
411,"(410, 411]",0.0002393167139473446
412,"(411, 412]",0.00027604378947226736
413,"(412, 413]",0.0001651794871904019
414,"(413, 414]",0.00019015309046539319
415,"(414, 415]",0.00020305223381694183
416,"(415, 416]",0.00025288335089060815
417,"(416, 417]",0.00019765547154842322
418,"(417, 418]",0.00016955315224677437
419,"(418, 419]",0.00022284047614087917
420,"(419, 420]",0.00030241565448596244
421,"(420, 421]",0.0002465068472553087
422,"(421, 422]",0.00035906396493952576
423,"(422, 423]",0.00029485289119912395
424,"(423, 424]",0.0002903606203702853
425,"(424, 425]",0.0002796092054026054
426,"(425, 426]",0.0003028436654448926
427,"(426, 427]",0.00017887974310581414
428,"(427, 428]",0.00023916962136922033
429,"(428, 429]",0.00021495497177236587
430,"(429, 430]",0.0002999820879096641
431,"(430, 431]",0.0002228455188321368
432,"(431, 432]",0.00025437076351379317
433,"(432, 433]",0.000276843024290767
434,"(433, 434]",0.00025189102396302527
435,"(434, 435]",0.00023402112647909236
436,"(435, 436]",0.00022496409384968854
437,"(436, 437]",0.00014985137573563206
438,"(437, 438]",0.00019235988836754768
439,"(438, 439]",0.00010903186965378842
440,"(439, 440]",0.00011333699914830585
