deso,pop_nse,income
0120C1060,0.05441176470588238,328.8
0120C1070,0.039192399049881255,330.8
0120C1080,0.07488986784140972,294.6
0120C1090,0.02985074626865669,396.8
0120C1100,0.06798245614035092,374.5
0120C1110,0.07968647942521223,290.2
0120C1120,0.0444444444444444,286.3
0120C1130,0.07450331125827814,254.5
0120C1140,0.0710405348934392,257.4
0120C1150,0.09061901723037646,278.6
0120C1160,0.0455873758036236,348.7
0120C1170,0.059884559884559874,318.3
0120C1180,0.13179916317991636,227.1
0120C1190,0.08623939679547599,245.4
0120C1200,0.06662312214239063,305.4
0120C1210,0.055419323197645864,255.3
0120C1220,0.04683840749414525,340.6
0120C1230,0.10658578856152512,313.2
0123C1010,0.06472081218274117,315.4
0123C1020,0.08053691275167785,302.7
0123C1030,0.06937095825984718,330.4
0123C1040,0.035169988276670616,316.9
0123C1050,0.049844236760124616,337.3
0123C1060,0.07839643652561246,311.3
0123C1070,0.05206378986866789,301.2
0123C1080,0.045838359469240086,281.4
0123C1090,0.10909090909090913,260.3
0123C1100,0.07152317880794701,268.4
0123C1110,0.049692380501656364,330.3
0123C1120,0.0424274973147154,302.2
0123C1130,0.2612555485098288,196.7
0123C1140,0.20805541303232422,286.8
0123C1150,0.11488970588235292,232.2
0123C1160,0.2612095933263816,224.4
0123C1170,0.2748154224774405,176.8
0123C1180,0.04928861788617889,293.6
0123C1190,0.2589413447782547,220.1
0123C1200,0.2163173652694611,266.3
0123C1210,0.1878019323671497,194.2
0123C1220,0.18851485148514846,249.8
0123C1230,0.16516245487364623,215.9
0123C1240,0.192351598173516,261.4
0123C1250,0.19868852459016395,205.6
0123C1260,0.14633105802047786,203.6
0123C1270,0.06305464736104627,319.3
0123C1280,0.2326980942828486,212.1
0123C1290,0.16388657214345292,213.2
0123C1300,0.1031706089582285,304.3
0123C1310,0.06511627906976747,324.1
0123C1320,0.05733432613551748,314.9
0123C1330,0.06985769728331181,326.7
0123C1340,0.16985428051001816,252.7
0123C1350,0.1945193171608266,237.3
0123C1360,0.14713343480466767,259.4
0123C1370,0.19907644946126224,224.9
0123C1380,0.1093596059113301,294.8
0123C1390,0.11950549450549453,273.7
0123C1400,0.0719784449576597,334.6
0125A0010,0.06983805668016196,299.7
0125A0020,0.110973341599504,276.2
0125A0030,0.06892230576441105,252.6
0125A0040,0.12519006588950832,284.4
0125B2010,0.07764390896921014,312.3
0125B2020,0.07169811320754715,285.3
0125B2030,0.02725020644095788,304.7
0125B3010,0.1653971708378672,277.2
0125B3020,0.055432372505543226,292.6
0125C1010,0.032439176543979986,413.4
0125C1020,0.0183745583038869,405.4
0125C1030,0.032936870997255285,314.8
0125C1040,0.15356754798985872,306.3
0125C1050,0.07925257731958768,335.4
0125C1060,0.07449088960342976,273.0
0125C1070,0.05844477464091136,344.8
0125C1080,0.06460454189506659,313.8
0126A0010,0.08908238446081718,281.6
0126C1010,0.1339511373209773,315.6
0126C1020,0.3218673218673219,217.4
0126C1030,0.2355577689243028,184.8
0126C1040,0.10952902519167584,279.2
0126C1050,0.10734463276836159,300.9
0126C1060,0.2592797783933518,211.2
0126C1070,0.24767801857585137,226.4
0126C1080,0.4347308950341957,163.6
0126C1090,0.3117178612059158,215.5
0126C1100,0.09606404269513014,249.9
0126C1110,0.431239388794567,205.1
0126C1120,0.05794871794871792,330.5
0126C1130,0.19280319857840955,194.5
0126C1140,0.19736842105263153,188.7
0126C1150,0.03623747108712416,297.2
0126C1160,0.25460455037919827,227.6
0126C1170,0.08488196885986943,286.0
0126C1180,0.15774647887323945,271.2
0126C1190,0.0888888888888889,309.3
0126C1200,0.07678244972577697,318.5
0126C1210,0.07964135021097052,300.9
0126C1220,0.09843659525188186,224.7
0126C1230,0.076171875,242.8
0126C1240,0.0522512506948305,393.2
0126C1250,0.1537171604248183,255.3
0126C1260,0.050787401574803104,308.0
0126C1270,0.037735849056603765,378.0
0126C1280,0.061006609049313654,258.4
0126C1290,0.07099567099567095,330.3
0126C1300,0.10528673835125446,232.1
0126C1310,0.11513157894736847,305.2
0126C1320,0.10482921083627794,254.7
0126C1330,0.08941709111488394,312.9
0126C1340,0.0958126330731015,257.1
0126C1350,0.05846298915605841,328.6
0126C1360,0.05589307411907651,378.3
0126C1370,0.21294718909710397,226.2
0126C1380,0.07012487992315086,363.3
0126C1390,0.05192211682476289,340.9
0126C1400,0.05950840879689523,320.8
0126C1410,0.08464773922187174,285.8
0126C1420,0.21549479166666663,184.8
0126C1430,0.058041958041958,357.8
0126C1440,0.04209690230341545,331.3
0126C1450,0.04214559386973182,353.5
0126C1460,0.07259380097879287,335.0
0126C1470,0.04456654456654452,369.1
0126C1480,0.05675954592363264,350.7
0126C1490,0.2311715481171548,228.4
0126C1500,0.0468369829683698,316.1
0126C1510,0.35666982024597915,189.9
0126C1520,0.21763754045307449,170.7
0126C1530,0.10842368640533773,304.0
0126C1540,0.2101967799642218,172.6
